分拣中心,日期,货量
SC16,2024/12/25,1950
SC16,2024/12/26,1966
SC16,2024/12/27,2005
SC16,2024/12/28,2045
SC16,2024/12/29,2029
SC16,2024/12/30,2009
SC17,2024/12/1,22512
SC17,2024/12/2,19633
SC17,2024/12/3,19485
SC17,2024/12/4,18461
SC17,2024/12/5,18819
SC17,2024/12/6,18251
SC17,2024/12/7,18281
SC17,2024/12/8,18180
SC17,2024/12/9,18405
SC17,2024/12/10,18732
SC17,2024/12/11,22512
SC17,2024/12/12,19633
SC17,2024/12/13,19485
SC17,2024/12/14,18461
SC17,2024/12/15,18819
SC17,2024/12/16,18251
SC17,2024/12/17,18281
SC17,2024/12/18,18180
SC17,2024/12/19,18405
SC17,2024/12/20,18732
SC17,2024/12/21,22512
SC17,2024/12/22,22512
SC17,2024/12/23,19485
SC17,2024/12/24,18461
SC17,2024/12/25,18819
SC17,2024/12/26,18251
SC17,2024/12/27,18281
SC17,2024/12/28,18180
SC17,2024/12/29,18405
SC17,2024/12/30,18732
SC18,2024/12/1,11114
SC18,2024/12/2,4877
SC18,2024/12/3,4744
SC18,2024/12/4,4931
SC18,2024/12/5,4792
SC18,2024/12/6,5076
SC18,2024/12/7,4792
SC18,2024/12/8,4812
SC18,2024/12/9,4732
SC18,2024/12/10,4744
SC18,2024/12/11,11114
SC18,2024/12/12,4877
SC18,2024/12/13,4744
SC18,2024/12/14,4931
SC18,2024/12/15,4792
SC18,2024/12/16,5076
SC18,2024/12/17,4792
SC18,2024/12/18,4812
SC18,2024/12/19,4732
SC18,2024/12/20,4744
SC18,2024/12/21,11114
SC18,2024/12/22,11114
SC18,2024/12/23,4744
SC18,2024/12/24,4931
SC18,2024/12/25,4792
SC18,2024/12/26,5076
SC18,2024/12/27,4792
SC18,2024/12/28,4812
SC18,2024/12/29,4732
SC18,2024/12/30,4744
SC19,2024/12/1,5432
SC19,2024/12/2,6862
SC19,2024/12/3,6564
SC19,2024/12/4,6483
SC19,2024/12/5,5629
SC19,2024/12/6,5819
SC19,2024/12/7,6135
SC19,2024/12/8,6510
SC19,2024/12/9,6312
SC19,2024/12/10,6348
SC19,2024/12/11,5432
SC19,2024/12/12,6862
SC19,2024/12/13,6564
SC19,2024/12/14,6483
SC19,2024/12/15,5629
SC19,2024/12/16,5819
SC19,2024/12/17,6135
SC19,2024/12/18,6510
SC19,2024/12/19,6312
SC19,2024/12/20,6348
SC19,2024/12/21,3457
SC19,2024/12/22,5432
SC19,2024/12/23,6564
SC19,2024/12/24,6483
SC19,2024/12/25,5629
SC19,2024/12/26,5819
SC19,2024/12/27,6135
SC19,2024/12/28,6510
SC19,2024/12/29,6312
SC19,2024/12/30,6348
SC2,2024/12/1,8627
SC2,2024/12/2,6913
SC2,2024/12/3,7215
SC2,2024/12/4,7311
SC2,2024/12/5,7312
SC2,2024/12/6,7138
SC2,2024/12/7,6886
SC2,2024/12/8,6756
SC2,2024/12/9,6805
SC2,2024/12/10,6883
SC2,2024/12/11,8627
SC2,2024/12/12,6913
SC2,2024/12/13,7215
SC2,2024/12/14,7311
SC2,2024/12/15,7312
SC2,2024/12/16,7138
SC2,2024/12/17,6886
SC2,2024/12/18,6756
SC2,2024/12/19,6805
SC2,2024/12/20,6883
SC2,2024/12/21,8627
SC2,2024/12/22,8627
SC2,2024/12/23,7215
SC2,2024/12/24,7311
SC2,2024/12/25,7312
SC2,2024/12/26,7138
SC2,2024/12/27,6886
SC2,2024/12/28,6756
SC2,2024/12/29,6805
SC2,2024/12/30,6883
SC20,2024/12/1,385
SC20,2024/12/2,286
SC20,2024/12/3,117
SC20,2024/12/4,51
SC20,2024/12/5,126
SC20,2024/12/6,280
SC20,2024/12/7,247
SC20,2024/12/8,143
SC20,2024/12/9,124
SC20,2024/12/10,131
SC20,2024/12/11,385
SC20,2024/12/12,286
SC20,2024/12/13,117
SC20,2024/12/14,51
SC20,2024/12/15,126
SC20,2024/12/16,280
SC20,2024/12/17,247
SC20,2024/12/18,143
SC20,2024/12/19,124
SC20,2024/12/20,131
SC20,2024/12/21,387
SC20,2024/12/22,385
SC20,2024/12/23,117
SC20,2024/12/24,51
SC20,2024/12/25,126
SC20,2024/12/26,280
SC20,2024/12/27,247
SC20,2024/12/28,143
SC20,2024/12/29,124
SC20,2024/12/30,131
SC21,2024/12/1,5758
SC21,2024/12/2,1591
SC21,2024/12/3,784
SC21,2024/12/4,969
SC21,2024/12/5,1479
SC21,2024/12/6,1522
SC21,2024/12/7,1542
SC21,2024/12/8,1583
SC21,2024/12/9,1581
SC21,2024/12/10,1577
SC21,2024/12/11,5758
SC21,2024/12/12,1591
SC21,2024/12/13,784
SC21,2024/12/14,969
SC21,2024/12/15,1479
SC21,2024/12/16,1522
SC21,2024/12/17,1542
SC21,2024/12/18,1583
SC21,2024/12/19,1581
SC21,2024/12/20,1577
SC21,2024/12/21,5758
SC21,2024/12/22,5758
SC21,2024/12/23,784
SC21,2024/12/24,969
SC21,2024/12/25,1479
SC21,2024/12/26,1522
SC21,2024/12/27,1542
SC21,2024/12/28,1583
SC21,2024/12/29,1581
SC21,2024/12/30,1577
SC22,2024/12/1,10843
SC22,2024/12/2,4670
SC22,2024/12/3,5299
SC22,2024/12/4,6500
SC22,2024/12/5,6595
SC22,2024/12/6,6834
SC22,2024/12/7,7218
SC22,2024/12/8,7305
SC22,2024/12/9,6885
SC22,2024/12/10,6450
SC22,2024/12/11,10843
SC22,2024/12/12,4670
SC22,2024/12/13,5299
SC22,2024/12/14,6500
SC22,2024/12/15,6595
SC22,2024/12/16,6834
SC22,2024/12/17,7218
SC22,2024/12/18,7305
SC22,2024/12/19,6885
SC22,2024/12/20,6450
SC22,2024/12/21,10843
SC22,2024/12/22,10843
SC22,2024/12/23,5299
SC22,2024/12/24,6500
SC22,2024/12/25,6595
SC22,2024/12/26,6834
SC22,2024/12/27,7218
SC22,2024/12/28,7305
SC22,2024/12/29,6885
SC22,2024/12/30,6450
SC23,2024/12/1,5726
SC23,2024/12/2,3204
SC23,2024/12/3,3094
SC23,2024/12/4,3292
SC23,2024/12/5,3284
SC23,2024/12/6,3261
SC23,2024/12/7,3266
SC23,2024/12/8,3250
SC23,2024/12/9,3163
SC23,2024/12/10,3148
SC23,2024/12/11,5726
SC23,2024/12/12,3204
SC23,2024/12/13,3094
SC23,2024/12/14,3292
SC23,2024/12/15,3284
SC23,2024/12/16,3261
SC23,2024/12/17,3266
SC23,2024/12/18,3250
SC23,2024/12/19,3163
SC23,2024/12/20,3148
SC23,2024/12/21,5726
SC23,2024/12/22,5726
SC23,2024/12/23,3094
SC23,2024/12/24,3292
SC23,2024/12/25,3284
SC23,2024/12/26,3261
SC23,2024/12/27,3266
SC23,2024/12/28,3250
SC23,2024/12/29,3163
SC23,2024/12/30,3148
SC24,2024/12/1,9388
SC24,2024/12/2,4728
SC24,2024/12/3,4606
SC24,2024/12/4,4687
SC24,2024/12/5,4631
SC24,2024/12/6,4489
SC24,2024/12/7,4403
SC24,2024/12/8,4382
SC24,2024/12/9,4420
SC24,2024/12/10,4425
SC24,2024/12/11,9388
SC24,2024/12/12,4728
SC24,2024/12/13,4606
SC24,2024/12/14,4687
SC24,2024/12/15,4631
SC24,2024/12/16,4489
SC24,2024/12/17,4403
SC24,2024/12/18,4382
SC24,2024/12/19,4420
SC24,2024/12/20,4425
SC24,2024/12/21,9388
SC24,2024/12/22,9388
SC24,2024/12/23,4606
SC24,2024/12/24,4687
SC24,2024/12/25,4631
SC24,2024/12/26,4489
SC24,2024/12/27,4403
SC24,2024/12/28,4382
SC24,2024/12/29,4420
SC24,2024/12/30,4425
SC25,2024/12/1,66040
SC25,2024/12/2,45351
SC25,2024/12/3,45769
SC25,2024/12/4,46137
SC25,2024/12/5,45795
SC25,2024/12/6,45814
SC25,2024/12/7,44882
SC25,2024/12/8,44785
SC25,2024/12/9,44455
SC25,2024/12/10,44723
SC25,2024/12/11,66040
SC25,2024/12/12,45351
SC25,2024/12/13,45769
SC25,2024/12/14,46137
SC25,2024/12/15,45795
SC25,2024/12/16,45814
SC25,2024/12/17,44882
SC25,2024/12/18,44785
SC25,2024/12/19,44455
SC25,2024/12/20,44723
SC25,2024/12/21,66040
SC25,2024/12/22,66040
SC25,2024/12/23,45769
SC25,2024/12/24,46137
SC25,2024/12/25,45795
SC25,2024/12/26,45814
SC25,2024/12/27,44882
SC25,2024/12/28,44785
SC25,2024/12/29,44455
SC25,2024/12/30,44723
SC26,2024/12/1,6251
SC26,2024/12/2,3992
SC26,2024/12/3,4113
SC26,2024/12/4,4057
SC26,2024/12/5,4023
SC26,2024/12/6,3996
SC26,2024/12/7,4076
SC26,2024/12/8,4034
SC26,2024/12/9,3914
SC26,2024/12/10,4030
SC26,2024/12/11,6251
SC26,2024/12/12,3992
SC26,2024/12/13,4113
SC26,2024/12/14,4057
SC26,2024/12/15,4023
SC26,2024/12/16,3996
SC26,2024/12/17,4076
SC26,2024/12/18,4034
SC26,2024/12/19,3914
SC26,2024/12/20,4030
SC26,2024/12/21,6251
SC26,2024/12/22,6251
SC26,2024/12/23,4113
SC26,2024/12/24,4057
SC26,2024/12/25,4023
SC26,2024/12/26,3996
SC26,2024/12/27,4076
SC26,2024/12/28,4034
SC26,2024/12/29,3914
SC26,2024/12/30,4030
SC27,2024/12/1,8344
SC27,2024/12/2,3298
SC27,2024/12/3,3277
SC27,2024/12/4,3299
SC27,2024/12/5,3091
SC27,2024/12/6,3138
SC27,2024/12/7,3229
SC27,2024/12/8,3280
SC27,2024/12/9,3158
SC27,2024/12/10,3258
SC27,2024/12/11,8344
SC27,2024/12/12,3298
SC27,2024/12/13,3277
SC27,2024/12/14,3299
SC27,2024/12/15,3091
SC27,2024/12/16,3138
SC27,2024/12/17,3229
SC27,2024/12/18,3280
SC27,2024/12/19,3158
SC27,2024/12/20,3258
SC27,2024/12/21,8344
SC27,2024/12/22,8344
SC27,2024/12/23,3277
SC27,2024/12/24,3299
SC27,2024/12/25,3091
SC27,2024/12/26,3138
SC27,2024/12/27,3229
SC27,2024/12/28,3280
SC27,2024/12/29,3158
SC27,2024/12/30,3258
SC28,2024/12/1,1504
SC28,2024/12/2,684
SC28,2024/12/3,612
SC28,2024/12/4,767
SC28,2024/12/5,701
SC28,2024/12/6,665
SC28,2024/12/7,608
SC28,2024/12/8,601
SC28,2024/12/9,562
SC28,2024/12/10,559
SC28,2024/12/11,1504
SC28,2024/12/12,684
SC28,2024/12/13,612
SC28,2024/12/14,767
SC28,2024/12/15,701
SC28,2024/12/16,665
SC28,2024/12/17,608
SC28,2024/12/18,601
SC28,2024/12/19,562
SC28,2024/12/20,559
SC28,2024/12/21,1504
SC28,2024/12/22,1504
SC28,2024/12/23,612
SC28,2024/12/24,767
SC28,2024/12/25,701
SC28,2024/12/26,665
SC28,2024/12/27,608
SC28,2024/12/28,601
SC28,2024/12/29,562
SC28,2024/12/30,559
SC29,2024/12/1,8726
SC29,2024/12/2,6485
SC29,2024/12/3,6433
SC29,2024/12/4,6421
SC29,2024/12/5,6434
SC29,2024/12/6,6361
SC29,2024/12/7,6294
SC29,2024/12/8,6314
SC29,2024/12/9,6294
SC29,2024/12/10,6340
SC29,2024/12/11,8726
SC29,2024/12/12,6485
SC29,2024/12/13,6433
SC29,2024/12/14,6421
SC29,2024/12/15,6434
SC29,2024/12/16,6361
SC29,2024/12/17,6294
SC29,2024/12/18,6314
SC29,2024/12/19,6294
SC29,2024/12/20,6340
SC29,2024/12/21,8726
SC29,2024/12/22,8726
SC29,2024/12/23,6433
SC29,2024/12/24,6421
SC29,2024/12/25,6434
SC29,2024/12/26,6361
SC29,2024/12/27,6294
SC29,2024/12/28,6314
SC29,2024/12/29,6294
SC29,2024/12/30,6340
SC3,2024/12/1,22274
SC3,2024/12/2,13338
SC3,2024/12/3,12614
SC3,2024/12/4,13031
SC3,2024/12/5,12918
SC3,2024/12/6,12898
SC3,2024/12/7,12533
SC3,2024/12/8,12300
SC3,2024/12/9,12181
SC3,2024/12/10,12324
SC3,2024/12/11,22274
SC3,2024/12/12,13338
SC3,2024/12/13,12614
SC3,2024/12/14,13031
SC3,2024/12/15,12918
SC3,2024/12/16,12898
SC3,2024/12/17,12533
SC3,2024/12/18,12300
SC3,2024/12/19,12181
SC3,2024/12/20,12324
SC3,2024/12/21,23848
SC3,2024/12/22,22274
SC3,2024/12/23,12614
SC3,2024/12/24,13031
SC3,2024/12/25,12918
SC3,2024/12/26,12898
SC3,2024/12/27,12533
SC3,2024/12/28,12300
SC3,2024/12/29,12181
SC3,2024/12/30,12324
SC30,2024/12/1,4566
SC30,2024/12/2,3222
SC30,2024/12/3,3010
SC30,2024/12/4,3267
SC30,2024/12/5,3642
SC30,2024/12/6,3528
SC30,2024/12/7,3426
SC30,2024/12/8,3274
SC30,2024/12/9,3317
SC30,2024/12/10,3354
SC30,2024/12/11,4566
SC30,2024/12/12,3222
SC30,2024/12/13,3010
SC30,2024/12/14,3267
SC30,2024/12/15,3642
SC30,2024/12/16,3528
SC30,2024/12/17,3426
SC30,2024/12/18,3274
SC30,2024/12/19,3317
SC30,2024/12/20,3354
SC30,2024/12/21,4566
SC30,2024/12/22,4566
SC30,2024/12/23,3010
SC30,2024/12/24,3267
SC30,2024/12/25,3642
SC30,2024/12/26,3528
SC30,2024/12/27,3426
SC30,2024/12/28,3274
SC30,2024/12/29,3317
SC30,2024/12/30,3354
SC31,2024/12/1,14750
SC31,2024/12/2,11276
SC31,2024/12/3,11531
SC31,2024/12/4,11749
SC31,2024/12/5,11594
SC31,2024/12/6,11574
SC31,2024/12/7,11333
SC31,2024/12/8,11328
SC31,2024/12/9,11277
SC31,2024/12/10,11307
SC31,2024/12/11,14750
SC31,2024/12/12,11276
SC31,2024/12/13,11531
SC31,2024/12/14,11749
SC31,2024/12/15,11594
SC31,2024/12/16,11574
SC31,2024/12/17,11333
SC31,2024/12/18,11328
SC31,2024/12/19,11277
SC31,2024/12/20,11307
SC31,2024/12/21,14750
SC31,2024/12/22,14750
SC31,2024/12/23,11531
SC31,2024/12/24,11749
SC31,2024/12/25,11594
SC31,2024/12/26,11574
SC31,2024/12/27,11333
SC31,2024/12/28,11328
SC31,2024/12/29,11277
SC31,2024/12/30,11307
SC32,2024/12/1,8537
SC32,2024/12/2,1554
SC32,2024/12/3,1611
SC32,2024/12/4,1606
SC32,2024/12/5,1609
SC32,2024/12/6,1607
SC32,2024/12/7,1592
SC32,2024/12/8,1613
SC32,2024/12/9,1621
SC32,2024/12/10,1647
SC32,2024/12/11,8537
SC32,2024/12/12,1554
SC32,2024/12/13,1611
SC32,2024/12/14,1606
SC32,2024/12/15,1609
SC32,2024/12/16,1607
SC32,2024/12/17,1592
SC32,2024/12/18,1613
SC32,2024/12/19,1621
SC32,2024/12/20,1647
SC32,2024/12/21,8537
SC32,2024/12/22,8537
SC32,2024/12/23,1611
SC32,2024/12/24,1606
SC32,2024/12/25,1609
SC32,2024/12/26,1607
SC32,2024/12/27,1592
SC32,2024/12/28,1613
SC32,2024/12/29,1621
SC32,2024/12/30,1647
SC34,2024/12/1,15808
SC34,2024/12/2,7952
SC34,2024/12/3,7987
SC34,2024/12/4,7937
SC34,2024/12/5,8127
SC34,2024/12/6,8147
SC34,2024/12/7,8130
SC34,2024/12/8,8120
SC34,2024/12/9,8171
SC34,2024/12/10,8321
SC34,2024/12/11,15808
SC34,2024/12/12,7952
SC34,2024/12/13,7987
SC34,2024/12/14,7937
SC34,2024/12/15,8127
SC34,2024/12/16,8147
SC34,2024/12/17,8130
SC34,2024/12/18,8120
SC34,2024/12/19,8171
SC34,2024/12/20,8321
SC34,2024/12/21,15808
SC34,2024/12/22,15808
SC34,2024/12/23,7987
SC34,2024/12/24,7937
SC34,2024/12/25,8127
SC34,2024/12/26,8147
SC34,2024/12/27,8130
SC34,2024/12/28,8120
SC34,2024/12/29,8171
SC34,2024/12/30,8321
SC35,2024/12/1,39204
SC35,2024/12/2,30740
SC35,2024/12/3,30040
SC35,2024/12/4,29508
SC35,2024/12/5,29782
SC35,2024/12/6,29487
SC35,2024/12/7,29246
SC35,2024/12/8,29461
SC35,2024/12/9,28733
SC35,2024/12/10,29607
SC35,2024/12/11,39204
SC35,2024/12/12,30740
SC35,2024/12/13,30040
SC35,2024/12/14,29508
SC35,2024/12/15,29782
SC35,2024/12/16,29487
SC35,2024/12/17,29246
SC35,2024/12/18,29461
SC35,2024/12/19,28733
SC35,2024/12/20,29607
SC35,2024/12/21,39204
SC35,2024/12/22,39204
SC35,2024/12/23,30040
SC35,2024/12/24,29508
SC35,2024/12/25,29782
SC35,2024/12/26,29487
SC35,2024/12/27,29246
SC35,2024/12/28,29461
SC35,2024/12/29,28733
SC35,2024/12/30,29607
SC36,2024/12/1,1896
SC36,2024/12/2,266
SC36,2024/12/3,280
SC36,2024/12/4,286
SC36,2024/12/5,238
SC36,2024/12/6,183
SC36,2024/12/7,199
SC36,2024/12/8,229
SC36,2024/12/9,263
SC36,2024/12/10,324
SC36,2024/12/11,1896
SC36,2024/12/12,266
SC36,2024/12/13,280
SC36,2024/12/14,286
SC36,2024/12/15,238
SC36,2024/12/16,183
SC36,2024/12/17,199
SC36,2024/12/18,229
SC36,2024/12/19,263
SC36,2024/12/20,324
SC36,2024/12/21,1248
SC36,2024/12/22,1896
SC36,2024/12/23,280
SC36,2024/12/24,286
SC36,2024/12/25,238
SC36,2024/12/26,183
SC36,2024/12/27,199
SC36,2024/12/28,229
SC36,2024/12/29,263
SC36,2024/12/30,324
SC37,2024/12/1,3305
SC37,2024/12/2,550
SC37,2024/12/3,461
SC37,2024/12/4,617
SC37,2024/12/5,823
SC37,2024/12/6,764
SC37,2024/12/7,643
SC37,2024/12/8,592
SC37,2024/12/9,695
SC37,2024/12/10,693
SC37,2024/12/11,3305
SC37,2024/12/12,550
SC37,2024/12/13,461
SC37,2024/12/14,617
SC37,2024/12/15,823
SC37,2024/12/16,764
SC37,2024/12/17,643
SC37,2024/12/18,592
SC37,2024/12/19,695
SC37,2024/12/20,693
SC37,2024/12/21,3912
SC37,2024/12/22,3305
SC37,2024/12/23,461
SC37,2024/12/24,617
SC37,2024/12/25,823
SC37,2024/12/26,764
SC37,2024/12/27,643
SC37,2024/12/28,592
SC37,2024/12/29,695
SC37,2024/12/30,693
SC38,2024/12/1,5068
SC38,2024/12/2,3425
SC38,2024/12/3,3413
SC38,2024/12/4,3410
SC38,2024/12/5,3412
SC38,2024/12/6,3421
SC38,2024/12/7,3384
SC38,2024/12/8,3409
SC38,2024/12/9,3472
SC38,2024/12/10,3520
SC38,2024/12/11,5068
SC38,2024/12/12,3425
SC38,2024/12/13,3413
SC38,2024/12/14,3410
SC38,2024/12/15,3412
SC38,2024/12/16,3421
SC38,2024/12/17,3384
SC38,2024/12/18,3409
SC38,2024/12/19,3472
SC38,2024/12/20,3520
SC38,2024/12/21,4330
SC38,2024/12/22,5068
SC38,2024/12/23,3413
SC38,2024/12/24,3410
SC38,2024/12/25,3412
SC38,2024/12/26,3421
SC38,2024/12/27,3384
SC38,2024/12/28,3409
SC38,2024/12/29,3472
SC38,2024/12/30,3520
SC39,2024/12/1,2914
SC39,2024/12/2,2041
SC39,2024/12/3,2087
SC39,2024/12/4,2071
SC39,2024/12/5,2072
SC39,2024/12/6,2049
SC39,2024/12/7,2001
SC39,2024/12/8,2009
SC39,2024/12/9,2070
SC39,2024/12/10,2116
SC39,2024/12/11,2914
SC39,2024/12/12,2041
SC39,2024/12/13,2087
SC39,2024/12/14,2071
SC39,2024/12/15,2072
SC39,2024/12/16,2049
SC39,2024/12/17,2001
SC39,2024/12/18,2009
SC39,2024/12/19,2070
SC39,2024/12/20,2116
SC39,2024/12/21,2914
SC39,2024/12/22,2914
SC39,2024/12/23,2087
SC39,2024/12/24,2071
SC39,2024/12/25,2072
SC39,2024/12/26,2049
SC39,2024/12/27,2001
SC39,2024/12/28,2009
SC39,2024/12/29,2070
SC39,2024/12/30,2116
SC4,2024/12/1,31329
SC4,2024/12/2,24748
SC4,2024/12/3,23662
SC4,2024/12/4,22596
SC4,2024/12/5,22594
SC4,2024/12/6,21743
SC4,2024/12/7,21235
SC4,2024/12/8,21979
SC4,2024/12/9,21986
SC4,2024/12/10,21514
SC4,2024/12/11,31329
SC4,2024/12/12,24748
SC4,2024/12/13,23662
SC4,2024/12/14,22596
SC4,2024/12/15,22594
SC4,2024/12/16,21743
SC4,2024/12/17,21235
SC4,2024/12/18,21979
SC4,2024/12/19,21986
SC4,2024/12/20,21514
SC4,2024/12/21,31329
SC4,2024/12/22,31329
SC4,2024/12/23,23662
SC4,2024/12/24,22596
SC4,2024/12/25,22594
SC4,2024/12/26,21743
SC4,2024/12/27,21235
SC4,2024/12/28,21979
SC4,2024/12/29,21986
SC4,2024/12/30,21514
SC40,2024/12/1,4838
SC40,2024/12/2,2856
SC40,2024/12/3,2844
SC40,2024/12/4,2863
SC40,2024/12/5,2860
SC40,2024/12/6,2860
SC40,2024/12/7,2886
SC40,2024/12/8,2919
SC40,2024/12/9,2930
SC40,2024/12/10,2921
SC40,2024/12/11,4838
SC40,2024/12/12,2856
SC40,2024/12/13,2844
SC40,2024/12/14,2863
SC40,2024/12/15,2860
SC40,2024/12/16,2860
SC40,2024/12/17,2886
SC40,2024/12/18,2919
SC40,2024/12/19,2930
SC40,2024/12/20,2921
SC40,2024/12/21,4838
SC40,2024/12/22,4838
SC40,2024/12/23,2844
SC40,2024/12/24,2863
SC40,2024/12/25,2860
SC40,2024/12/26,2860
SC40,2024/12/27,2886
SC40,2024/12/28,2919
SC40,2024/12/29,2930
SC40,2024/12/30,2921
SC41,2024/12/1,4630
SC41,2024/12/2,1402
SC41,2024/12/3,1441
SC41,2024/12/4,1444
SC41,2024/12/5,1413
SC41,2024/12/6,1455
SC41,2024/12/7,1421
SC41,2024/12/8,1445
SC41,2024/12/9,1447
SC41,2024/12/10,1487
SC41,2024/12/11,4630
SC41,2024/12/12,1402
SC41,2024/12/13,1441
SC41,2024/12/14,1444
SC41,2024/12/15,1413
SC41,2024/12/16,1455
SC41,2024/12/17,1421
SC41,2024/12/18,1445
SC41,2024/12/19,1447
SC41,2024/12/20,1487
SC41,2024/12/21,4630
SC41,2024/12/22,4630
SC41,2024/12/23,1441
SC41,2024/12/24,1444
SC41,2024/12/25,1413
SC41,2024/12/26,1455
SC41,2024/12/27,1421
SC41,2024/12/28,1445
SC41,2024/12/29,1447
SC41,2024/12/30,1487
SC43,2024/12/1,4489
SC43,2024/12/2,2873
SC43,2024/12/3,2947
SC43,2024/12/4,2828
SC43,2024/12/5,2919
SC43,2024/12/6,2833
SC43,2024/12/7,2827
SC43,2024/12/8,2869
SC43,2024/12/9,2889
SC43,2024/12/10,2807
SC43,2024/12/11,4489
SC43,2024/12/12,2873
SC43,2024/12/13,2947
SC43,2024/12/14,2828
SC43,2024/12/15,2919
SC43,2024/12/16,2833
