分拣中心,日期,班次,正式工,临时工
'SC30',2023/12/1,'8-16',2,7
'SC30',2023/12/1,'12-20',1,13
'SC30',2023/12/1,'14-22',2,1
'SC30',2023/12/1,'16-24',8,1
'SC31',2023/12/1,'0-8',2,62
'SC31',2023/12/1,'5-13',7,4
'SC31',2023/12/1,'8-16',16,2
'SC31',2023/12/1,'12-20',4,25
'SC31',2023/12/1,'14-22',1,5
'SC31',2023/12/1,'16-24',13,24
'SC32',2023/12/1,'0-8',1,11
'SC32',2023/12/1,'5-13',1,15
'SC32',2023/12/1,'8-16',1,2
'SC32',2023/12/1,'12-20',1,7
'SC32',2023/12/1,'14-22',4,12
'SC32',2023/12/1,'16-24',8,21
'SC34',2023/12/1,'0-8',1,43
'SC34',2023/12/1,'5-13',5,18
'SC34',2023/12/1,'8-16',5,9
'SC34',2023/12/1,'12-20',1,30
'SC34',2023/12/1,'14-22',2,1
'SC34',2023/12/1,'16-24',1,55
'SC35',2023/12/1,'0-8',1,112
'SC35',2023/12/1,'5-13',2,19
'SC35',2023/12/1,'8-16',16,53
'SC35',2023/12/1,'12-20',16,1
'SC35',2023/12/1,'14-22',15,1
'SC35',2023/12/1,'16-24',4,187
'SC36',2023/12/1,'0-8',1,1
'SC36',2023/12/1,'5-13',1,1
'SC36',2023/12/1,'8-16',3,9
'SC36',2023/12/1,'12-20',1,3
'SC36',2023/12/1,'14-22',1,1
'SC36',2023/12/1,'16-24',3,1
'SC37',2023/12/1,'0-8',2,1
'SC37',2023/12/1,'5-13',1,1
'SC37',2023/12/1,'8-16',3,7
'SC37',2023/12/1,'12-20',2,5
'SC37',2023/12/1,'14-22',2,1
'SC37',2023/12/1,'16-24',1,9
'SC38',2023/12/1,'0-8',6,9
'SC38',2023/12/1,'5-13',1,6
'SC38',2023/12/1,'8-16',1,6
'SC38',2023/12/1,'12-20',2,1
'SC38',2023/12/1,'14-22',3,1
'SC38',2023/12/1,'16-24',1,19
'SC39',2023/12/1,'0-8',2,7
'SC39',2023/12/1,'5-13',1,1
'SC39',2023/12/1,'8-16',2,4
'SC39',2023/12/1,'12-20',2,1
'SC39',2023/12/1,'14-22',2,1
'SC39',2023/12/1,'16-24',1,9
'SC4',2023/12/1,'0-8',13,159
'SC4',2023/12/1,'5-13',1,1
'SC4',2023/12/1,'8-16',10,36
'SC4',2023/12/1,'12-20',3,14
'SC4',2023/12/1,'14-22',10,1
'SC4',2023/12/1,'16-24',1,203
'SC40',2023/12/1,'0-8',2,11
'SC40',2023/12/1,'5-13',1,1
'SC40',2023/12/1,'8-16',2,7
'SC40',2023/12/1,'12-20',1,6
'SC40',2023/12/1,'14-22',1,1
'SC40',2023/12/1,'16-24',1,15
'SC41',2023/12/1,'0-8',1,5
'SC41',2023/12/1,'5-13',1,9
'SC41',2023/12/1,'8-16',3,14
'SC41',2023/12/1,'12-20',2,2
'SC41',2023/12/1,'14-22',1,1
'SC41',2023/12/1,'16-24',3,4
'SC43',2023/12/1,'0-8',2,2
'SC43',2023/12/1,'5-13',4,9
'SC43',2023/12/1,'8-16',1,9
'SC43',2023/12/1,'12-20',1,9
'SC43',2023/12/1,'14-22',2,1
'SC43',2023/12/1,'16-24',2,1
'SC44',2023/12/1,'0-8',8,19
'SC44',2023/12/1,'5-13',1,1
'SC44',2023/12/1,'8-16',4,37
'SC44',2023/12/1,'12-20',1,36
'SC44',2023/12/1,'14-22',4,15
'SC44',2023/12/1,'16-24',10,148
'SC46',2023/12/1,'0-8',1,1
'SC46',2023/12/1,'5-13',8,1
'SC46',2023/12/1,'8-16',8,33
'SC46',2023/12/1,'12-20',1,54
'SC46',2023/12/1,'14-22',1,12
'SC46',2023/12/1,'16-24',7,38
'SC47',2023/12/1,'0-8',13,231
'SC47',2023/12/1,'5-13',13,15
'SC47',2023/12/1,'8-16',6,152
'SC47',2023/12/1,'12-20',4,17
'SC47',2023/12/1,'14-22',6,22
'SC47',2023/12/1,'16-24',18,213
'SC48',2023/12/1,'0-8',1,1
'SC48',2023/12/1,'5-13',1,1
'SC48',2023/12/1,'8-16',1,2
'SC48',2023/12/1,'12-20',1,1
'SC48',2023/12/1,'14-22',1,1
'SC48',2023/12/1,'16-24',1,1
'SC49',2023/12/1,'0-8',13,50
'SC49',2023/12/1,'5-13',1,10
'SC49',2023/12/1,'8-16',4,19
'SC49',2023/12/1,'12-20',10,2
'SC49',2023/12/1,'14-22',7,31
'SC49',2023/12/1,'16-24',4,18
'SC5',2023/12/1,'0-8',4,166
'SC5',2023/12/1,'5-13',10,1
'SC5',2023/12/1,'8-16',15,49
'SC5',2023/12/1,'12-20',2,69
'SC5',2023/12/1,'14-22',14,4
'SC5',2023/12/1,'16-24',10,103
'SC51',2023/12/1,'0-8',9,72
'SC51',2023/12/1,'5-13',1,13
'SC51',2023/12/1,'8-16',7,16
'SC51',2023/12/1,'12-20',1,43
'SC51',2023/12/1,'14-22',5,1
'SC51',2023/12/1,'16-24',2,63
'SC52',2023/12/1,'0-8',5,8
'SC52',2023/12/1,'5-13',8,1
'SC52',2023/12/1,'8-16',1,13
'SC52',2023/12/1,'12-20',5,1
'SC52',2023/12/1,'14-22',5,1
'SC52',2023/12/1,'16-24',3,22
'SC53',2023/12/1,'0-8',20,90
'SC53',2023/12/1,'5-13',8,1
'SC53',2023/12/1,'8-16',10,67
'SC53',2023/12/1,'12-20',4,48
'SC53',2023/12/1,'14-22',3,26
'SC53',2023/12/1,'16-24',5,301
'SC54',2023/12/1,'0-8',1,22
'SC54',2023/12/1,'5-13',3,27
'SC54',2023/12/1,'8-16',1,26
'SC54',2023/12/1,'12-20',1,25
'SC54',2023/12/1,'14-22',1,1
'SC54',2023/12/1,'16-24',19,53
'SC55',2023/12/1,'0-8',2,3
'SC55',2023/12/1,'5-13',3,7
'SC55',2023/12/1,'8-16',2,10
'SC55',2023/12/1,'12-20',2,8
'SC55',2023/12/1,'14-22',2,2
'SC55',2023/12/1,'16-24',2,1
'SC56',2023/12/1,'0-8',8,1
'SC56',2023/12/1,'5-13',1,2
'SC56',2023/12/1,'8-16',1,28
'SC56',2023/12/1,'12-20',1,1
'SC56',2023/12/1,'14-22',5,1
'SC56',2023/12/1,'16-24',15,21
'SC57',2023/12/1,'0-8',1,112
'SC57',2023/12/1,'5-13',2,16
'SC57',2023/12/1,'8-16',1,21
'SC57',2023/12/1,'12-20',1,18
'SC57',2023/12/1,'14-22',1,1
'SC57',2023/12/1,'16-24',1,52
'SC58',2023/12/1,'0-8',1,1
'SC58',2023/12/1,'5-13',1,3
'SC58',2023/12/1,'8-16',2,2
'SC58',2023/12/1,'12-20',1,1
'SC58',2023/12/1,'14-22',2,6
'SC58',2023/12/1,'16-24',1,11
'SC6',2023/12/1,'0-8',6,95
'SC6',2023/12/1,'5-13',7,24
'SC6',2023/12/1,'8-16',1,20
'SC6',2023/12/1,'12-20',3,1
'SC6',2023/12/1,'14-22',15,1
'SC6',2023/12/1,'16-24',22,117
'SC60',2023/12/1,'0-8',2,358
'SC60',2023/12/1,'5-13',4,18
'SC60',2023/12/1,'8-16',6,116
'SC60',2023/12/1,'12-20',15,34
'SC60',2023/12/1,'14-22',2,1
'SC60',2023/12/1,'16-24',19,347
'SC61',2023/12/1,'0-8',1,1
'SC61',2023/12/1,'5-13',1,1
'SC61',2023/12/1,'8-16',1,2
'SC61',2023/12/1,'12-20',1,2
'SC61',2023/12/1,'14-22',1,1
'SC61',2023/12/1,'16-24',1,5
'SC63',2023/12/1,'0-8',1,5
'SC63',2023/12/1,'5-13',2,5
'SC63',2023/12/1,'8-16',2,7
'SC63',2023/12/1,'12-20',1,1
'SC63',2023/12/1,'14-22',2,5
'SC63',2023/12/1,'16-24',1,5
'SC66',2023/12/1,'0-8',1,1
'SC66',2023/12/1,'5-13',4,2
'SC66',2023/12/1,'8-16',3,3
'SC66',2023/12/1,'12-20',1,2
'SC66',2023/12/1,'14-22',3,1
'SC66',2023/12/1,'16-24',1,1
'SC68',2023/12/1,'0-8',1,1
'SC68',2023/12/1,'5-13',1,1
'SC68',2023/12/1,'8-16',1,4
'SC68',2023/12/1,'12-20',1,1
'SC68',2023/12/1,'14-22',1,1
'SC68',2023/12/1,'16-24',1,6
'SC7',2023/12/1,'0-8',12,103
'SC7',2023/12/1,'5-13',6,1
'SC7',2023/12/1,'8-16',6,63
'SC7',2023/12/1,'12-20',1,52
'SC7',2023/12/1,'14-22',5,1
'SC7',2023/12/1,'16-24',14,105
'SC8',2023/12/1,'0-8',4,151
'SC8',2023/12/1,'5-13',10,44
'SC8',2023/12/1,'8-16',8,4
'SC8',2023/12/1,'12-20',19,38
'SC8',2023/12/1,'14-22',6,54
'SC8',2023/12/1,'16-24',10,154
'SC9',2023/12/1,'0-8',15,147
'SC9',2023/12/1,'5-13',13,80
'SC9',2023/12/1,'8-16',15,28
'SC9',2023/12/1,'12-20',1,1
'SC9',2023/12/1,'14-22',7,1
'SC9',2023/12/1,'16-24',2,84
'SC1',2023/12/2,'0-8',6,117
'SC1',2023/12/2,'5-13',1,13
'SC1',2023/12/2,'8-16',4,62
'SC1',2023/12/2,'12-20',1,24
'SC1',2023/12/2,'14-22',2,1
'SC1',2023/12/2,'16-24',9,112
'SC10',2023/12/2,'0-8',16,129
'SC10',2023/12/2,'5-13',6,46
'SC10',2023/12/2,'8-16',1,12
'SC10',2023/12/2,'12-20',6,28
'SC10',2023/12/2,'14-22',4,17
'SC10',2023/12/2,'16-24',2,185
'SC12',2023/12/2,'0-8',1,4
'SC12',2023/12/2,'5-13',4,4
'SC12',2023/12/2,'8-16',4,4
'SC12',2023/12/2,'12-20',4,1
'SC12',2023/12/2,'14-22',1,1
'SC12',2023/12/2,'16-24',4,1
'SC14',2023/12/2,'0-8',1,1
'SC14',2023/12/2,'5-13',1,1
'SC14',2023/12/2,'8-16',1,5
'SC14',2023/12/2,'12-20',1,2
'SC14',2023/12/2,'14-22',1,1
'SC14',2023/12/2,'16-24',1,3
'SC15',2023/12/2,'0-8',5,12
'SC15',2023/12/2,'5-13',1,15
'SC15',2023/12/2,'8-16',2,7
'SC15',2023/12/2,'12-20',4,3
'SC15',2023/12/2,'14-22',4,1
'SC15',2023/12/2,'16-24',1,20
'SC16',2023/12/2,'0-8',1,2
'SC16',2023/12/2,'5-13',1,1
'SC16',2023/12/2,'8-16',1,2
'SC16',2023/12/2,'12-20',2,1
'SC16',2023/12/2,'14-22',2,1
'SC16',2023/12/2,'16-24',2,2
'SC17',2023/12/2,'0-8',8,56
'SC17',2023/12/2,'5-13',2,1
'SC17',2023/12/2,'8-16',1,27
'SC17',2023/12/2,'12-20',4,1
'SC17',2023/12/2,'14-22',2,36
'SC17',2023/12/2,'16-24',1,68
'SC18',2023/12/2,'0-8',4,1
'SC18',2023/12/2,'5-13',2,7
'SC18',2023/12/2,'8-16',1,2
'SC18',2023/12/2,'12-20',2,1
'SC18',2023/12/2,'14-22',3,4
'SC18',2023/12/2,'16-24',6,23
'SC19',2023/12/2,'0-8',1,10
'SC19',2023/12/2,'5-13',1,4
'SC19',2023/12/2,'8-16',1,8
'SC19',2023/12/2,'12-20',2,10
'SC19',2023/12/2,'14-22',1,1
'SC19',2023/12/2,'16-24',1,19
'SC2',2023/12/2,'0-8',2,6
'SC2',2023/12/2,'5-13',3,1
'SC2',2023/12/2,'8-16',3,11
'SC2',2023/12/2,'12-20',1,3
'SC2',2023/12/2,'14-22',2,4
'SC2',2023/12/2,'16-24',6,16
'SC20',2023/12/2,'0-8',1,1
'SC20',2023/12/2,'5-13',1,1
'SC20',2023/12/2,'8-16',1,1
'SC20',2023/12/2,'12-20',1,1
'SC20',2023/12/2,'14-22',1,1
'SC20',2023/12/2,'16-24',1,1
'SC21',2023/12/2,'0-8',2,1
'SC21',2023/12/2,'5-13',2,1
'SC21',2023/12/2,'8-16',2,1
'SC21',2023/12/2,'12-20',1,1
'SC21',2023/12/2,'14-22',1,1
'SC21',2023/12/2,'16-24',1,4
'SC22',2023/12/2,'0-8',4,7
'SC22',2023/12/2,'5-13',3,1
'SC22',2023/12/2,'8-16',1,9
'SC22',2023/12/2,'12-20',1,1
'SC22',2023/12/2,'14-22',1,1
'SC22',2023/12/2,'16-24',11,3
'SC23',2023/12/2,'0-8',1,1
'SC23',2023/12/2,'5-13',1,2
'SC23',2023/12/2,'8-16',1,7
'SC23',2023/12/2,'12-20',1,1
'SC23',2023/12/2,'14-22',1,2
'SC23',2023/12/2,'16-24',1,10
'SC24',2023/12/2,'0-8',1,5
'SC24',2023/12/2,'5-13',2,7
'SC24',2023/12/2,'8-16',1,13
'SC24',2023/12/2,'12-20',1,8
'SC24',2023/12/2,'14-22',2,6
'SC24',2023/12/2,'16-24',1,1
'SC25',2023/12/2,'0-8',14,151
'SC25',2023/12/2,'5-13',10,41
'SC25',2023/12/2,'8-16',4,5
'SC25',2023/12/2,'12-20',3,69
'SC25',2023/12/2,'14-22',16,1
'SC25',2023/12/2,'16-24',1,231
'SC26',2023/12/2,'0-8',1,6
'SC26',2023/12/2,'5-13',1,6
'SC26',2023/12/2,'8-16',1,13
'SC26',2023/12/2,'12-20',2,4
'SC26',2023/12/2,'14-22',1,2
'SC26',2023/12/2,'16-24',5,1
'SC27',2023/12/2,'0-8',2,1
'SC27',2023/12/2,'5-13',1,6
'SC27',2023/12/2,'8-16',1,5
'SC27',2023/12/2,'12-20',2,1
'SC27',2023/12/2,'14-22',1,1
'SC27',2023/12/2,'16-24',1,16
'SC28',2023/12/2,'0-8',1,1
'SC28',2023/12/2,'5-13',1,1
'SC28',2023/12/2,'8-16',1,1
'SC28',2023/12/2,'12-20',1,1
'SC28',2023/12/2,'14-22',1,1
'SC28',2023/12/2,'16-24',1,2
'SC29',2023/12/2,'0-8',4,5
'SC29',2023/12/2,'5-13',3,6
'SC29',2023/12/2,'8-16',1,11
'SC29',2023/12/2,'12-20',1,1
'SC29',2023/12/2,'14-22',1,4
'SC29',2023/12/2,'16-24',1,30
'SC3',2023/12/2,'0-8',6,87
'SC3',2023/12/2,'5-13',1,31
'SC3',2023/12/2,'8-16',1,7
'SC3',2023/12/2,'12-20',1,26
'SC3',2023/12/2,'14-22',8,14
'SC3',2023/12/2,'16-24',8,23
'SC30',2023/12/2,'0-8',4,1
'SC30',2023/12/2,'5-13',2,1
'SC30',2023/12/2,'8-16',4,3
'SC30',2023/12/2,'12-20',1,8
'SC30',2023/12/2,'14-22',1,1
'SC30',2023/12/2,'16-24',2,6
'SC31',2023/12/2,'0-8',2,47
'SC31',2023/12/2,'5-13',1,1
'SC31',2023/12/2,'8-16',8,25
'SC31',2023/12/2,'12-20',2,2
'SC31',2023/12/2,'14-22',6,1
'SC31',2023/12/2,'16-24',14,18
'SC32',2023/12/2,'0-8',1,1
'SC32',2023/12/2,'5-13',1,1
'SC32',2023/12/2,'8-16',1,1
'SC32',2023/12/2,'12-20',1,1
'SC32',2023/12/2,'14-22',1,1
'SC32',2023/12/2,'16-24',1,4
'SC34',2023/12/2,'0-8',1,21
'SC34',2023/12/2,'5-13',2,9
'SC34',2023/12/2,'8-16',6,1
'SC34',2023/12/2,'12-20',3,11
'SC34',2023/12/2,'14-22',1,1
'SC34',2023/12/2,'16-24',8,18
'SC35',2023/12/2,'0-8',18,67
'SC35',2023/12/2,'5-13',5,40
'SC35',2023/12/2,'8-16',6,20
'SC35',2023/12/2,'12-20',1,1
'SC35',2023/12/2,'14-22',3,1
'SC35',2023/12/2,'16-24',12,136
'SC36',2023/12/2,'0-8',1,1
'SC36',2023/12/2,'5-13',1,1
'SC36',2023/12/2,'8-16',1,2
'SC36',2023/12/2,'12-20',1,1
'SC36',2023/12/2,'14-22',1,1
'SC36',2023/12/2,'16-24',1,1
'SC37',2023/12/2,'0-8',1,1
'SC37',2023/12/2,'5-13',1,1
'SC37',2023/12/2,'8-16',1,1
'SC37',2023/12/2,'12-20',1,1
'SC37',2023/12/2,'14-22',1,1
'SC37',2023/12/2,'16-24',1,2
'SC38',2023/12/2,'0-8',2,9
'SC38',2023/12/2,'5-13',4,1
'SC38',2023/12/2,'8-16',1,5
'SC38',2023/12/2,'12-20',2,1
'SC38',2023/12/2,'14-22',1,1
'SC38',2023/12/2,'16-24',10,1
'SC39',2023/12/2,'0-8',1,5
'SC39',2023/12/2,'5-13',3,1
'SC39',2023/12/2,'8-16',1,1
'SC39',2023/12/2,'12-20',2,1
'SC39',2023/12/2,'14-22',3,1
'SC39',2023/12/2,'16-24',3,4
'SC4',2023/12/2,'0-8',1,137
'SC4',2023/12/2,'5-13',1,1
'SC4',2023/12/2,'8-16',6,31
'SC4',2023/12/2,'12-20',10,1
'SC4',2023/12/2,'14-22',5,1
'SC4',2023/12/2,'16-24',13,145
'SC40',2023/12/2,'0-8',1,7
'SC40',2023/12/2,'5-13',1,1
'SC40',2023/12/2,'8-16',2,5
'SC40',2023/12/2,'12-20',1,1
'SC40',2023/12/2,'14-22',2,1
'SC40',2023/12/2,'16-24',2,7
'SC41',2023/12/2,'0-8',1,2
'SC41',2023/12/2,'5-13',2,1
'SC41',2023/12/2,'8-16',2,5
'SC41',2023/12/2,'12-20',2,1
'SC41',2023/12/2,'14-22',1,1
'SC41',2023/12/2,'16-24',1,1
'SC43',2023/12/2,'0-8',4,1
'SC43',2023/12/2,'5-13',4,1
'SC43',2023/12/2,'8-16',2,7
'SC43',2023/12/2,'12-20',1,4
'SC43',2023/12/2,'14-22',2,1
'SC43',2023/12/2,'16-24',2,1
'SC44',2023/12/2,'0-8',3,27
'SC44',2023/12/2,'5-13',1,1
'SC44',2023/12/2,'8-16',6,43
'SC44',2023/12/2,'12-20',1,1
'SC44',2023/12/2,'14-22',1,12
'SC44',2023/12/2,'16-24',1,104
'SC46',2023/12/2,'0-8',3,1
'SC46',2023/12/2,'5-13',1,1
'SC46',2023/12/2,'8-16',1,8
'SC46',2023/12/2,'12-20',1,8
'SC46',2023/12/2,'14-22',1,15
'SC46',2023/12/2,'16-24',1,9
'SC47',2023/12/2,'0-8',1,167
'SC47',2023/12/2,'5-13',2,2
'SC47',2023/12/2,'8-16',7,96
'SC47',2023/12/2,'12-20',6,28
'SC47',2023/12/2,'14-22',7,1
'SC47',2023/12/2,'16-24',27,127
'SC48',2023/12/2,'0-8',1,1
'SC48',2023/12/2,'5-13',1,1
'SC48',2023/12/2,'8-16',1,1
'SC48',2023/12/2,'12-20',1,1
'SC48',2023/12/2,'14-22',1,1
'SC48',2023/12/2,'16-24',1,1
'SC49',2023/12/2,'0-8',1,40
'SC49',2023/12/2,'5-13',10,1
'SC49',2023/12/2,'8-16',7,1
'SC49',2023/12/2,'12-20',11,1
'SC49',2023/12/2,'14-22',1,18
'SC49',2023/12/2,'16-24',2,12
'SC5',2023/12/2,'0-8',5,112
'SC5',2023/12/2,'5-13',1,1
'SC5',2023/12/2,'8-16',1,50
'SC5',2023/12/2,'12-20',1,44
'SC5',2023/12/2,'14-22',1,14
'SC5',2023/12/2,'16-24',19,56
'SC51',2023/12/2,'0-8',1,54
'SC51',2023/12/2,'5-13',4,8
'SC51',2023/12/2,'8-16',1,11
'SC51',2023/12/2,'12-20',1,32
'SC51',2023/12/2,'14-22',3,1
'SC51',2023/12/2,'16-24',4,38
'SC52',2023/12/2,'0-8',1,4
'SC52',2023/12/2,'5-13',3,1
'SC52',2023/12/2,'8-16',1,2
'SC52',2023/12/2,'12-20',1,4
'SC52',2023/12/2,'14-22',1,1
'SC52',2023/12/2,'16-24',2,7
'SC53',2023/12/2,'0-8',5,69
'SC53',2023/12/2,'5-13',6,1
'SC53',2023/12/2,'8-16',2,20
'SC53',2023/12/2,'12-20',1,51
'SC53',2023/12/2,'14-22',6,37
'SC53',2023/12/2,'16-24',1,199
'SC54',2023/12/2,'0-8',1,9
'SC54',2023/12/2,'5-13',1,1
'SC54',2023/12/2,'8-16',5,17
'SC54',2023/12/2,'12-20',7,1
'SC54',2023/12/2,'14-22',7,1
'SC54',2023/12/2,'16-24',7,25
'SC55',2023/12/2,'0-8',1,2
'SC55',2023/12/2,'5-13',5,2
'SC55',2023/12/2,'8-16',1,12
'SC55',2023/12/2,'12-20',1,1
'SC55',2023/12/2,'14-22',2,4
'SC55',2023/12/2,'16-24',1,3
'SC56',2023/12/2,'0-8',2,1
'SC56',2023/12/2,'5-13',1,1
'SC56',2023/12/2,'8-16',2,2
'SC56',2023/12/2,'12-20',1,1
'SC56',2023/12/2,'14-22',1,1
'SC56',2023/12/2,'16-24',1,6
'SC57',2023/12/2,'0-8',5,49
'SC57',2023/12/2,'5-13',3,24
'SC57',2023/12/2,'8-16',6,11
'SC57',2023/12/2,'12-20',1,1
'SC57',2023/12/2,'14-22',1,1
'SC57',2023/12/2,'16-24',3,22
'SC58',2023/12/2,'0-8',1,1
'SC58',2023/12/2,'5-13',1,1
'SC58',2023/12/2,'8-16',1,1
'SC58',2023/12/2,'12-20',1,1
'SC58',2023/12/2,'14-22',1,1
'SC58',2023/12/2,'16-24',1,4
'SC6',2023/12/2,'0-8',3,88
'SC6',2023/12/2,'5-13',4,8
'SC6',2023/12/2,'8-16',3,32
'SC6',2023/12/2,'12-20',1,15
'SC6',2023/12/2,'14-22',1,12
'SC6',2023/12/2,'16-24',28,95
'SC60',2023/12/2,'0-8',7,217
'SC60',2023/12/2,'5-13',3,56
'SC60',2023/12/2,'8-16',1,34
'SC60',2023/12/2,'12-20',13,42
'SC60',2023/12/2,'14-22',9,4
'SC60',2023/12/2,'16-24',16,211
'SC61',2023/12/2,'0-8',1,1
'SC61',2023/12/2,'5-13',1,1
'SC61',2023/12/2,'8-16',1,1
'SC61',2023/12/2,'12-20',1,1
'SC61',2023/12/2,'14-22',1,1
'SC61',2023/12/2,'16-24',1,3
'SC63',2023/12/2,'0-8',1,2
'SC63',2023/12/2,'5-13',2,2
'SC63',2023/12/2,'8-16',3,1
'SC63',2023/12/2,'12-20',1,1
'SC63',2023/12/2,'14-22',3,1
'SC63',2023/12/2,'16-24',1,1
'SC66',2023/12/2,'0-8',1,1
'SC66',2023/12/2,'5-13',1,1
'SC66',2023/12/2,'8-16',1,2
'SC66',2023/12/2,'12-20',1,1
'SC66',2023/12/2,'14-22',1,1
'SC66',2023/12/2,'16-24',1,1
'SC68',2023/12/2,'0-8',1,1
'SC68',2023/12/2,'5-13',1,1
'SC68',2023/12/2,'8-16',1,3
'SC68',2023/12/2,'12-20',1,1
