分拣中心,日期,班次,出勤员工
SC60,2023-12-01 00:00:00,16_24,正式工173
SC60,2023-12-01 00:00:00,16_24,正式工174
SC60,2023-12-01 00:00:00,16_24,正式工175
SC60,2023-12-01 00:00:00,16_24,正式工176
SC60,2023-12-01 00:00:00,16_24,正式工177
SC60,2023-12-01 00:00:00,16_24,正式工178
SC60,2023-12-01 00:00:00,16_24,正式工179
SC60,2023-12-01 00:00:00,16_24,正式工180
SC60,2023-12-01 00:00:00,16_24,正式工181
SC60,2023-12-01 00:00:00,16_24,正式工182
SC60,2023-12-01 00:00:00,16_24,正式工183
SC60,2023-12-01 00:00:00,16_24,正式工184
SC60,2023-12-01 00:00:00,16_24,正式工185
SC60,2023-12-01 00:00:00,16_24,正式工186
SC60,2023-12-01 00:00:00,16_24,正式工187
SC60,2023-12-01 00:00:00,16_24,正式工188
SC60,2023-12-01 00:00:00,16_24,正式工189
SC60,2023-12-01 00:00:00,16_24,正式工190
SC60,2023-12-01 00:00:00,16_24,正式工191
SC60,2023-12-01 00:00:00,16_24,正式工192
SC60,2023-12-02 00:00:00,0_8,正式工14
SC60,2023-12-02 00:00:00,0_8,正式工15
SC60,2023-12-02 00:00:00,0_8,正式工16
SC60,2023-12-02 00:00:00,0_8,正式工17
SC60,2023-12-02 00:00:00,0_8,正式工18
SC60,2023-12-02 00:00:00,0_8,正式工19
SC60,2023-12-02 00:00:00,0_8,正式工20
SC60,2023-12-02 00:00:00,0_8,正式工21
SC60,2023-12-02 00:00:00,0_8,正式工22
SC60,2023-12-02 00:00:00,0_8,正式工23
SC60,2023-12-02 00:00:00,5_13,正式工24
SC60,2023-12-02 00:00:00,5_13,正式工25
SC60,2023-12-02 00:00:00,8_16,正式工26
SC60,2023-12-02 00:00:00,8_16,正式工27
SC60,2023-12-02 00:00:00,8_16,正式工28
SC60,2023-12-02 00:00:00,8_16,正式工29
SC60,2023-12-02 00:00:00,8_16,正式工30
SC60,2023-12-02 00:00:00,8_16,正式工31
SC60,2023-12-02 00:00:00,8_16,正式工32
SC60,2023-12-02 00:00:00,12_20,正式工33
SC60,2023-12-02 00:00:00,12_20,正式工34
SC60,2023-12-02 00:00:00,12_20,正式工35
SC60,2023-12-02 00:00:00,12_20,正式工36
SC60,2023-12-02 00:00:00,12_20,正式工37
SC60,2023-12-02 00:00:00,14_22,正式工38
SC60,2023-12-02 00:00:00,14_22,正式工39
SC60,2023-12-02 00:00:00,16_24,正式工40
SC60,2023-12-02 00:00:00,16_24,正式工41
SC60,2023-12-02 00:00:00,16_24,正式工42
SC60,2023-12-02 00:00:00,16_24,正式工43
SC60,2023-12-02 00:00:00,16_24,正式工44
SC60,2023-12-02 00:00:00,16_24,正式工45
SC60,2023-12-02 00:00:00,16_24,正式工46
SC60,2023-12-02 00:00:00,16_24,正式工47
SC60,2023-12-02 00:00:00,16_24,正式工48
SC60,2023-12-02 00:00:00,16_24,正式工49
SC60,2023-12-02 00:00:00,16_24,正式工50
SC60,2023-12-02 00:00:00,16_24,正式工51
SC60,2023-12-02 00:00:00,16_24,正式工52
SC60,2023-12-02 00:00:00,16_24,正式工53
SC60,2023-12-02 00:00:00,16_24,正式工54
SC60,2023-12-02 00:00:00,16_24,正式工55
SC60,2023-12-02 00:00:00,16_24,正式工56
SC60,2023-12-02 00:00:00,16_24,正式工57
SC60,2023-12-02 00:00:00,16_24,正式工58
SC60,2023-12-02 00:00:00,16_24,正式工59
SC60,2023-12-02 00:00:00,16_24,正式工60
SC60,2023-12-02 00:00:00,16_24,正式工61
SC60,2023-12-02 00:00:00,16_24,正式工62
SC60,2023-12-02 00:00:00,16_24,正式工63
SC60,2023-12-02 00:00:00,16_24,正式工64
SC60,2023-12-02 00:00:00,16_24,正式工65
SC60,2023-12-02 00:00:00,16_24,正式工66
SC60,2023-12-02 00:00:00,16_24,正式工67
SC60,2023-12-02 00:00:00,16_24,正式工68
SC60,2023-12-02 00:00:00,16_24,正式工69
SC60,2023-12-02 00:00:00,16_24,正式工70
SC60,2023-12-02 00:00:00,16_24,正式工71
SC60,2023-12-02 00:00:00,16_24,正式工72
SC60,2023-12-02 00:00:00,16_24,正式工73
SC60,2023-12-02 00:00:00,16_24,正式工74
SC60,2023-12-02 00:00:00,16_24,正式工75
SC60,2023-12-02 00:00:00,16_24,正式工76
SC60,2023-12-02 00:00:00,16_24,正式工77
SC60,2023-12-02 00:00:00,16_24,正式工78
SC60,2023-12-02 00:00:00,16_24,正式工79
SC60,2023-12-02 00:00:00,16_24,正式工80
SC60,2023-12-02 00:00:00,16_24,正式工81
SC60,2023-12-02 00:00:00,16_24,正式工82
SC60,2023-12-02 00:00:00,16_24,正式工83
SC60,2023-12-02 00:00:00,16_24,正式工84
SC60,2023-12-02 00:00:00,16_24,正式工85
SC60,2023-12-02 00:00:00,16_24,正式工86
SC60,2023-12-02 00:00:00,16_24,正式工87
SC60,2023-12-02 00:00:00,16_24,正式工88
SC60,2023-12-02 00:00:00,16_24,正式工89
SC60,2023-12-02 00:00:00,16_24,正式工90
SC60,2023-12-02 00:00:00,16_24,正式工91
SC60,2023-12-02 00:00:00,16_24,正式工92
SC60,2023-12-02 00:00:00,16_24,正式工93
SC60,2023-12-02 00:00:00,16_24,正式工94
SC60,2023-12-02 00:00:00,16_24,正式工95
SC60,2023-12-02 00:00:00,16_24,正式工96
SC60,2023-12-02 00:00:00,16_24,正式工97
SC60,2023-12-02 00:00:00,16_24,正式工98
SC60,2023-12-02 00:00:00,16_24,正式工99
SC60,2023-12-02 00:00:00,16_24,正式工100
SC60,2023-12-02 00:00:00,16_24,正式工101
SC60,2023-12-02 00:00:00,16_24,正式工102
SC60,2023-12-02 00:00:00,16_24,正式工103
SC60,2023-12-02 00:00:00,16_24,正式工104
SC60,2023-12-02 00:00:00,16_24,正式工158
SC60,2023-12-02 00:00:00,16_24,正式工159
SC60,2023-12-02 00:00:00,16_24,正式工160
SC60,2023-12-02 00:00:00,16_24,正式工161
SC60,2023-12-02 00:00:00,16_24,正式工162
SC60,2023-12-02 00:00:00,16_24,正式工163
SC60,2023-12-02 00:00:00,16_24,正式工164
SC60,2023-12-02 00:00:00,16_24,正式工165
SC60,2023-12-02 00:00:00,16_24,正式工166
SC60,2023-12-02 00:00:00,16_24,正式工167
SC60,2023-12-02 00:00:00,16_24,正式工168
SC60,2023-12-02 00:00:00,16_24,正式工169
SC60,2023-12-02 00:00:00,16_24,正式工170
SC60,2023-12-02 00:00:00,16_24,正式工171
SC60,2023-12-02 00:00:00,16_24,正式工172
SC60,2023-12-02 00:00:00,16_24,正式工173
SC60,2023-12-02 00:00:00,16_24,正式工174
SC60,2023-12-02 00:00:00,16_24,正式工175
SC60,2023-12-02 00:00:00,16_24,正式工176
SC60,2023-12-02 00:00:00,16_24,正式工177
SC60,2023-12-02 00:00:00,16_24,正式工178
SC60,2023-12-02 00:00:00,16_24,正式工179
SC60,2023-12-02 00:00:00,16_24,正式工180
SC60,2023-12-02 00:00:00,16_24,正式工181
SC60,2023-12-02 00:00:00,16_24,正式工182
SC60,2023-12-02 00:00:00,16_24,正式工183
SC60,2023-12-02 00:00:00,16_24,正式工184
SC60,2023-12-02 00:00:00,16_24,正式工185
SC60,2023-12-02 00:00:00,16_24,正式工186
SC60,2023-12-02 00:00:00,16_24,正式工187
SC60,2023-12-02 00:00:00,16_24,正式工188
SC60,2023-12-02 00:00:00,16_24,正式工189
SC60,2023-12-02 00:00:00,16_24,正式工190
SC60,2023-12-02 00:00:00,16_24,正式工191
SC60,2023-12-02 00:00:00,16_24,正式工192
SC60,2023-12-02 00:00:00,16_24,正式工193
SC60,2023-12-02 00:00:00,16_24,正式工194
SC60,2023-12-02 00:00:00,16_24,正式工195
SC60,2023-12-02 00:00:00,16_24,正式工196
SC60,2023-12-02 00:00:00,16_24,正式工197
SC60,2023-12-02 00:00:00,16_24,正式工198
SC60,2023-12-02 00:00:00,16_24,正式工199
SC60,2023-12-02 00:00:00,16_24,正式工200
SC60,2023-12-03 00:00:00,0_8,正式工1
SC60,2023-12-03 00:00:00,5_13,正式工43
SC60,2023-12-03 00:00:00,5_13,正式工44
SC60,2023-12-03 00:00:00,5_13,正式工45
SC60,2023-12-03 00:00:00,5_13,正式工46
SC60,2023-12-03 00:00:00,5_13,正式工47
SC60,2023-12-03 00:00:00,5_13,正式工48
SC60,2023-12-03 00:00:00,5_13,正式工49
SC60,2023-12-03 00:00:00,5_13,正式工50
SC60,2023-12-03 00:00:00,5_13,正式工51
SC60,2023-12-03 00:00:00,5_13,正式工52
SC60,2023-12-03 00:00:00,5_13,正式工53
SC60,2023-12-03 00:00:00,5_13,正式工54
SC60,2023-12-03 00:00:00,5_13,正式工55
SC60,2023-12-03 00:00:00,5_13,正式工56
SC60,2023-12-03 00:00:00,5_13,正式工57
SC60,2023-12-03 00:00:00,5_13,正式工58
SC60,2023-12-03 00:00:00,5_13,正式工59
SC60,2023-12-03 00:00:00,5_13,正式工60
SC60,2023-12-03 00:00:00,5_13,正式工61
SC60,2023-12-03 00:00:00,5_13,正式工62
SC60,2023-12-03 00:00:00,5_13,正式工63
SC60,2023-12-03 00:00:00,5_13,正式工64
SC60,2023-12-03 00:00:00,5_13,正式工65
SC60,2023-12-03 00:00:00,5_13,正式工66
SC60,2023-12-03 00:00:00,5_13,正式工67
SC60,2023-12-03 00:00:00,5_13,正式工68
SC60,2023-12-03 00:00:00,5_13,正式工69
SC60,2023-12-03 00:00:00,5_13,正式工70
SC60,2023-12-03 00:00:00,5_13,正式工71
SC60,2023-12-03 00:00:00,5_13,正式工72
SC60,2023-12-03 00:00:00,5_13,正式工73
SC60,2023-12-03 00:00:00,8_16,正式工74
SC60,2023-12-03 00:00:00,8_16,正式工75
SC60,2023-12-03 00:00:00,8_16,正式工76
SC60,2023-12-03 00:00:00,8_16,正式工77
SC60,2023-12-03 00:00:00,8_16,正式工78
SC60,2023-12-03 00:00:00,8_16,正式工79
SC60,2023-12-03 00:00:00,8_16,正式工80
SC60,2023-12-03 00:00:00,12_20,正式工81
SC60,2023-12-03 00:00:00,12_20,正式工82
SC60,2023-12-03 00:00:00,12_20,正式工83
SC60,2023-12-03 00:00:00,12_20,正式工84
SC60,2023-12-03 00:00:00,12_20,正式工85
SC60,2023-12-03 00:00:00,12_20,正式工86
SC60,2023-12-03 00:00:00,12_20,正式工87
SC60,2023-12-03 00:00:00,12_20,正式工88
SC60,2023-12-03 00:00:00,12_20,正式工105
SC60,2023-12-03 00:00:00,12_20,正式工106
SC60,2023-12-03 00:00:00,12_20,正式工107
SC60,2023-12-03 00:00:00,12_20,正式工108
SC60,2023-12-03 00:00:00,12_20,正式工109
SC60,2023-12-03 00:00:00,12_20,正式工110
SC60,2023-12-03 00:00:00,12_20,正式工111
SC60,2023-12-03 00:00:00,12_20,正式工112
SC60,2023-12-03 00:00:00,12_20,正式工113
SC60,2023-12-03 00:00:00,12_20,正式工114
SC60,2023-12-03 00:00:00,12_20,正式工115
SC60,2023-12-03 00:00:00,12_20,正式工116
SC60,2023-12-03 00:00:00,12_20,正式工117
SC60,2023-12-03 00:00:00,12_20,正式工118
SC60,2023-12-03 00:00:00,12_20,正式工119
SC60,2023-12-03 00:00:00,12_20,正式工120
SC60,2023-12-03 00:00:00,12_20,正式工121
SC60,2023-12-03 00:00:00,12_20,正式工122
SC60,2023-12-03 00:00:00,12_20,正式工123
SC60,2023-12-03 00:00:00,14_22,正式工124
SC60,2023-12-03 00:00:00,14_22,正式工125
SC60,2023-12-03 00:00:00,14_22,正式工126
SC60,2023-12-03 00:00:00,14_22,正式工127
SC60,2023-12-03 00:00:00,14_22,正式工128
SC60,2023-12-03 00:00:00,16_24,正式工129
SC60,2023-12-03 00:00:00,16_24,正式工130
SC60,2023-12-03 00:00:00,16_24,正式工131
SC60,2023-12-03 00:00:00,16_24,正式工132
SC60,2023-12-03 00:00:00,16_24,正式工133
SC60,2023-12-03 00:00:00,16_24,正式工134
SC60,2023-12-03 00:00:00,16_24,正式工135
SC60,2023-12-03 00:00:00,16_24,正式工136
SC60,2023-12-03 00:00:00,16_24,正式工137
SC60,2023-12-03 00:00:00,16_24,正式工138
SC60,2023-12-03 00:00:00,16_24,正式工139
SC60,2023-12-03 00:00:00,16_24,正式工140
SC60,2023-12-03 00:00:00,16_24,正式工141
SC60,2023-12-03 00:00:00,16_24,正式工142
SC60,2023-12-03 00:00:00,16_24,正式工143
SC60,2023-12-03 00:00:00,16_24,正式工144
SC60,2023-12-03 00:00:00,16_24,正式工145
SC60,2023-12-03 00:00:00,16_24,正式工146
SC60,2023-12-03 00:00:00,16_24,正式工147
SC60,2023-12-03 00:00:00,16_24,正式工148
SC60,2023-12-03 00:00:00,16_24,正式工149
SC60,2023-12-03 00:00:00,16_24,正式工150
SC60,2023-12-03 00:00:00,16_24,正式工151
SC60,2023-12-03 00:00:00,16_24,正式工152
SC60,2023-12-03 00:00:00,16_24,正式工153
SC60,2023-12-03 00:00:00,16_24,正式工154
SC60,2023-12-03 00:00:00,16_24,正式工155
SC60,2023-12-03 00:00:00,16_24,正式工156
SC60,2023-12-03 00:00:00,16_24,正式工157
SC60,2023-12-03 00:00:00,16_24,正式工89
SC60,2023-12-03 00:00:00,16_24,正式工90
SC60,2023-12-03 00:00:00,16_24,正式工91
SC60,2023-12-03 00:00:00,16_24,正式工92
SC60,2023-12-03 00:00:00,16_24,正式工93
SC60,2023-12-03 00:00:00,16_24,正式工94
SC60,2023-12-03 00:00:00,16_24,正式工95
SC60,2023-12-03 00:00:00,16_24,正式工96
SC60,2023-12-03 00:00:00,16_24,正式工97
SC60,2023-12-03 00:00:00,16_24,正式工98
SC60,2023-12-03 00:00:00,16_24,正式工99
SC60,2023-12-03 00:00:00,16_24,正式工100
SC60,2023-12-03 00:00:00,16_24,正式工101
SC60,2023-12-03 00:00:00,16_24,正式工102
SC60,2023-12-03 00:00:00,16_24,正式工103
SC60,2023-12-03 00:00:00,16_24,正式工104
SC60,2023-12-03 00:00:00,16_24,正式工158
SC60,2023-12-03 00:00:00,16_24,正式工159
SC60,2023-12-03 00:00:00,16_24,正式工160
SC60,2023-12-03 00:00:00,16_24,正式工161
SC60,2023-12-03 00:00:00,16_24,正式工177
SC60,2023-12-03 00:00:00,16_24,正式工178
SC60,2023-12-03 00:00:00,16_24,正式工179
SC60,2023-12-03 00:00:00,16_24,正式工180
SC60,2023-12-03 00:00:00,16_24,正式工181
SC60,2023-12-03 00:00:00,16_24,正式工182
SC60,2023-12-03 00:00:00,16_24,正式工183
SC60,2023-12-03 00:00:00,16_24,正式工184
SC60,2023-12-03 00:00:00,16_24,正式工185
SC60,2023-12-03 00:00:00,16_24,正式工186
SC60,2023-12-03 00:00:00,16_24,正式工187
SC60,2023-12-03 00:00:00,16_24,正式工188
SC60,2023-12-03 00:00:00,16_24,正式工189
SC60,2023-12-03 00:00:00,16_24,正式工190
SC60,2023-12-03 00:00:00,16_24,正式工191
SC60,2023-12-03 00:00:00,16_24,正式工192
SC60,2023-12-03 00:00:00,16_24,正式工193
SC60,2023-12-03 00:00:00,16_24,正式工194
SC60,2023-12-03 00:00:00,16_24,正式工195
SC60,2023-12-03 00:00:00,16_24,正式工196
SC60,2023-12-03 00:00:00,16_24,正式工197
SC60,2023-12-03 00:00:00,16_24,正式工198
SC60,2023-12-03 00:00:00,16_24,正式工199
SC60,2023-12-03 00:00:00,16_24,正式工200
SC60,2023-12-04 00:00:00,0_8,正式工2
SC60,2023-12-04 00:00:00,0_8,正式工3
SC60,2023-12-04 00:00:00,0_8,正式工4
SC60,2023-12-04 00:00:00,0_8,正式工5
SC60,2023-12-04 00:00:00,0_8,正式工6
SC60,2023-12-04 00:00:00,0_8,正式工7
SC60,2023-12-04 00:00:00,0_8,正式工8
SC60,2023-12-04 00:00:00,0_8,正式工9
SC60,2023-12-04 00:00:00,0_8,正式工10
SC60,2023-12-04 00:00:00,0_8,正式工11
SC60,2023-12-04 00:00:00,0_8,正式工12
SC60,2023-12-04 00:00:00,0_8,正式工13
SC60,2023-12-04 00:00:00,0_8,正式工1
SC60,2023-12-04 00:00:00,0_8,正式工14
SC60,2023-12-04 00:00:00,0_8,正式工15
SC60,2023-12-04 00:00:00,0_8,正式工16
SC60,2023-12-04 00:00:00,0_8,正式工17
SC60,2023-12-04 00:00:00,0_8,正式工18
SC60,2023-12-04 00:00:00,0_8,正式工19
SC60,2023-12-04 00:00:00,0_8,正式工20
SC60,2023-12-04 00:00:00,0_8,正式工21
SC60,2023-12-04 00:00:00,0_8,正式工22
SC60,2023-12-04 00:00:00,0_8,正式工23
SC60,2023-12-04 00:00:00,0_8,正式工24
SC60,2023-12-04 00:00:00,0_8,正式工25
SC60,2023-12-04 00:00:00,0_8,正式工26
SC60,2023-12-04 00:00:00,0_8,正式工27
SC60,2023-12-04 00:00:00,0_8,正式工28
SC60,2023-12-04 00:00:00,0_8,正式工29
SC60,2023-12-04 00:00:00,0_8,正式工30
SC60,2023-12-04 00:00:00,0_8,正式工31
SC60,2023-12-04 00:00:00,0_8,正式工32
SC60,2023-12-04 00:00:00,0_8,正式工33
SC60,2023-12-04 00:00:00,0_8,正式工34
SC60,2023-12-04 00:00:00,0_8,正式工35
SC60,2023-12-04 00:00:00,0_8,正式工36
SC60,2023-12-04 00:00:00,0_8,正式工37
SC60,2023-12-04 00:00:00,0_8,正式工38
SC60,2023-12-04 00:00:00,0_8,正式工39
SC60,2023-12-04 00:00:00,0_8,正式工40
SC60,2023-12-04 00:00:00,0_8,正式工41
SC60,2023-12-04 00:00:00,0_8,正式工42
SC60,2023-12-04 00:00:00,0_8,正式工105
SC60,2023-12-04 00:00:00,0_8,正式工106
SC60,2023-12-04 00:00:00,0_8,正式工107
SC60,2023-12-04 00:00:00,0_8,正式工108
SC60,2023-12-04 00:00:00,0_8,正式工109
SC60,2023-12-04 00:00:00,0_8,正式工110
SC60,2023-12-04 00:00:00,0_8,正式工111
SC60,2023-12-04 00:00:00,0_8,正式工112
SC60,2023-12-04 00:00:00,0_8,正式工113
SC60,2023-12-04 00:00:00,0_8,正式工114
SC60,2023-12-04 00:00:00,0_8,正式工115
SC60,2023-12-04 00:00:00,0_8,正式工116
SC60,2023-12-04 00:00:00,0_8,正式工117
SC60,2023-12-04 00:00:00,0_8,正式工118
SC60,2023-12-04 00:00:00,0_8,正式工119
SC60,2023-12-04 00:00:00,0_8,正式工120
SC60,2023-12-04 00:00:00,0_8,正式工121
SC60,2023-12-04 00:00:00,0_8,正式工122
SC60,2023-12-04 00:00:00,0_8,正式工123
SC60,2023-12-04 00:00:00,0_8,正式工124
SC60,2023-12-04 00:00:00,0_8,正式工125
SC60,2023-12-04 00:00:00,5_13,正式工126
SC60,2023-12-04 00:00:00,5_13,正式工127
SC60,2023-12-04 00:00:00,5_13,正式工128
SC60,2023-12-04 00:00:00,5_13,正式工129
